DOI,Classification,Triage decision,Document Type,Bibliography row,Classification method,Review needed,Low confidence,Fallback used,Fallback basis,Review reason,Evidence,Primary topic reason,Classifier version
10.1002/adfm.201604311,Functional materials,N,Article,18,topic rules,False,False,False,,,"Chemical synthesis [abstract; routine synthesis conditions (weak)]: solvothermal | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: membranes | Functional materials [abstract; adsorption, storage, and separation]: membranes, adsorption, separation | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.201705137,Functional materials,N,Article,19,topic rules,False,False,False,,,Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; biomedical and delivery applications]: drug release | Functional materials [abstract; biomedical and delivery applications]: cytotoxicity | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.,Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.201705588,Functional materials,Y,Article,20,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Functional materials / Chemical synthesis; Assigned category is supported only by abstract evidence,"Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Functional materials [abstract; catalytic and environmental performance]: photocatalytic, catalytic activity | Functional materials [abstract; electronic, magnetic, and mechanical function]: mechanical properties",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.201805372,Chemical synthesis,Y,Article,21,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Chemical synthesis / Theory & modeling; Assigned category is supported only by abstract evidence,Chemical synthesis [abstract; synthesis development]: one pot synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis,Phrase-group evidence favors Chemical synthesis; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.201806720,Crystal engineering,Y,Article,22,topic rules,True,True,False,,Assigned category is supported only by abstract evidence,"Chemical synthesis [abstract; routine synthesis conditions (weak)]: solvothermal | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; catalytic and environmental performance]: catalytic activity, catalytic applications | Crystal engineering [primary contribution rule; +30]: Synthesis/construction is coupled to structural characterization or network design; brief supporting property measurements do not set the primary topic.",Synthesis/construction is coupled to structural characterization or network design; brief supporting property measurements do not set the primary topic.,4.0.0
10.1002/adfm.201808466,Chemical synthesis,Y,Article,23,topic rules,True,True,False,,Assigned category is supported only by abstract evidence,Chemical synthesis [abstract; routine synthesis conditions (weak)]: hydrothermal | Chemical synthesis [abstract; synthesis development]: formation mechanisms | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Crystal engineering [abstract; crystallization and crystal growth]: crystallization | Chemical synthesis [primary contribution rule; +30]: Abstract foregrounds synthetic route development or a post-synthetic transformation.,Abstract foregrounds synthetic route development or a post-synthetic transformation.,4.0.0
10.1002/adfm.201903341,Functional materials,N,Article,24,topic rules,True,True,False,,Weak topic evidence (score below 4); Assigned category is supported only by abstract evidence,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; energy conversion and electrochemistry]: energy storage | Functional materials [abstract; catalytic and environmental performance]: catalytic application, heterogeneous catalysts",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.201907089,Functional materials,N,Article,25,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: membranes, separation | Functional materials [abstract; adsorption, storage, and separation]: membranes, membrane, separation | Functional materials [abstract; energy conversion and electrochemistry]: electrolyte | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202001648,Functional materials,N,Article,26,topic rules,False,False,False,,,"Chemical synthesis [abstract; synthesis development]: synthetic routes | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; biomedical and delivery applications]: biocatalytic | Functional materials [abstract; biomedical and delivery applications]: biocatalytic, biocatalysis, biosensing | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202005517,Functional materials,N,Article,27,topic rules,True,True,False,,Weak topic evidence (score below 4); Assigned category is supported only by abstract evidence,"Functional materials [abstract; adsorption, storage, and separation]: adsorption | Functional materials [abstract; catalytic and environmental performance]: chemical warfare",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.202008357,Functional materials,Y,Article,28,topic rules,False,False,False,,,"Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: adsorption | Functional materials [abstract; adsorption, storage, and separation]: adsorbents, adsorption | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202011146,Functional materials,N,Article,29,topic rules,False,False,False,,,"Theory & modeling [abstract; explicit computational focus]: molecular simulation | Functional materials [title; adsorption, storage, and separation]: membrane | Functional materials [abstract; adsorption, storage, and separation]: membrane, separation, membranes | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202102582,Chemical synthesis,Y,Article,30,topic rules,False,False,False,,,"Chemical synthesis [title; synthesis development]: one pot synthesis | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Crystal engineering [abstract; crystal packing and structural design]: crystal structure | Chemical synthesis [primary contribution rule; +30]: Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.","Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.",4.0.0
10.1002/adfm.202102868,Chemical synthesis,Y,Article,31,topic rules,False,False,False,,,"Chemical synthesis [title; synthesis development]: controllable synthesis | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; adsorption, storage, and separation]: adsorption | Chemical synthesis [primary contribution rule; +30]: Title foregrounds synthetic-method development or a chemical transformation.",Title foregrounds synthetic-method development or a chemical transformation.,4.0.0
10.1002/adfm.202105267,Functional materials,N,Article,32,topic rules,False,False,False,,,"Functional materials [title; adsorption, storage, and separation]: adsorption | Functional materials [abstract; adsorption, storage, and separation]: adsorption | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202105395,Functional materials,Y,Article,33,topic rules,True,True,False,,Assigned category is supported only by abstract evidence,"Functional materials [abstract; adsorption, storage, and separation]: adsorption | Functional materials [abstract; catalytic and environmental performance]: pollutant removal | Functional materials [abstract; electronic, magnetic, and mechanical function]: mechanical properties | Functional materials [abstract; biomedical and delivery applications]: antibacterial, antimicrobial, biomedical",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.202105577,Functional materials,Y,Article,34,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Theory & modeling [abstract; molecular and statistical simulations]: molecular dynamics | Functional materials [title; adsorption, storage, and separation]: separation | Functional materials [abstract; adsorption, storage, and separation]: membrane, separations, separation | Functional materials [primary contribution rule; +30]: Abstract links a stated application to performance or uptake results.",Abstract links a stated application to performance or uptake results.,4.0.0
10.1002/adfm.202112517,Chemical synthesis,N,Article,35,topic rules,False,False,False,,,"Chemical synthesis [title; synthetic routes]: electrosynthesis | Chemical synthesis [abstract; synthetic routes]: electrosynthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; energy conversion and electrochemistry]: energy conversion, electrocatalytic, hydrogen evolution | Chemical synthesis [primary contribution rule; +30]: Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.","Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.",4.0.0
10.1002/adfm.202204065,Functional materials,Y,Article,36,topic rules,False,False,False,,,Chemical synthesis [abstract; routine synthesis conditions (weak)]: solvothermal | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; energy conversion and electrochemistry]: electrodes | Functional materials [abstract; energy conversion and electrochemistry]: electrodes | Functional materials [title; sensing and optical function]: sensors | Functional materials [abstract; sensing and optical function]: sensor | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.,Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202208148,Chemical synthesis,Y,Article,37,topic rules,False,False,False,,,"Chemical synthesis [title; synthetic routes]: room temperature synthesis | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Theory & modeling [abstract; quantum electronic calculations]: density functional theory | Crystal engineering [abstract; network topology and assembly]: interpenetrated | Functional materials [abstract; adsorption, storage, and separation]: sorption | Chemical synthesis [primary contribution rule; +30]: Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.","Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.",4.0.0
10.1002/adfm.202212283,Functional materials,N,Article,38,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: gas capture | Functional materials [abstract; adsorption, storage, and separation]: co2 capture, adsorption, adsorb | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202213039,Functional materials,Y,Article,39,topic rules,False,False,False,,,"Crystal engineering [abstract; network topology and assembly]: topology | Crystal engineering [abstract; crystallization and crystal growth]: single crystal to single crystal | Functional materials [abstract; adsorption, storage, and separation]: adsorption | Functional materials [title; energy conversion and electrochemistry]: co2 reduction | Functional materials [abstract; energy conversion and electrochemistry]: co2 reduction, co2 photoreduction | Functional materials [title; catalytic and environmental performance]: photocatalytic | Functional materials [abstract; catalytic and environmental performance]: photocatalysts, photocatalytic | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202214262,Chemical synthesis,Y,Article,40,topic rules,True,True,False,,Assigned category is supported only by abstract evidence,"Chemical synthesis [abstract; synthesis development]: synthetic strategy | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; adsorption, storage, and separation]: separation | Chemical synthesis [primary contribution rule; +30]: Abstract foregrounds synthetic route development or a post-synthetic transformation.",Abstract foregrounds synthetic route development or a post-synthetic transformation.,4.0.0
10.1002/adfm.202214307,Functional materials,Y,Article,41,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; sensing and optical function]: luminescence | Functional materials [abstract; sensing and optical function]: luminescent, fluorescence",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.202302630,Theory & modeling,N,Article,42,topic rules,False,False,False,,,Chemical synthesis [abstract; generic synthesis report (weak)]: syntheses | Theory & modeling [title; predictive and mathematical methods]: machine learning | Theory & modeling [abstract; predictive and mathematical methods]: machine learning | Theory & modeling [primary contribution rule; +30]: Title explicitly frames a computational/theoretical study.,Title explicitly frames a computational/theoretical study.,4.0.0
10.1002/adfm.202303644,Functional materials,Y,Article,43,topic rules,False,False,False,,,Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; catalytic and environmental performance]: photocatalysis | Functional materials [abstract; catalytic and environmental performance]: photocatalytic | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.,Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202307369,Functional materials,Y,Article,44,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Functional materials / Chemical synthesis; Assigned category is supported only by abstract evidence,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; electronic, magnetic, and mechanical function]: magnetic",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.202308847,Functional materials,N,Article,45,topic rules,False,False,False,,,"Chemical synthesis [abstract; synthetic routes]: layer by layer synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: separation | Functional materials [abstract; electronic, magnetic, and mechanical function]: semiconductors",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.202403644,Functional materials,Y,Article,46,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; electronic, magnetic, and mechanical function]: electrical conductivity, thermoelectric | Functional materials [abstract; electronic, magnetic, and mechanical function]: thermal conductivity, thermoelectric, electrical conductivity | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202404631,Theory & modeling,N,Article,47,topic rules,False,False,False,,,Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Theory & modeling [title; predictive and mathematical methods]: machine learning | Theory & modeling [abstract; predictive and mathematical methods]: machine learning | Functional materials [abstract; sensing and optical function]: sensors | Theory & modeling [primary contribution rule; +30]: Title explicitly frames a computational/theoretical study.,Title explicitly frames a computational/theoretical study.,4.0.0
10.1002/adfm.202404680,Crystal engineering,Y,Article,48,topic rules,True,True,False,,Assigned category is supported only by abstract evidence,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Theory & modeling [abstract; explicit computational focus]: theoretical studies | Crystal engineering [abstract; network topology and assembly]: topology | Crystal engineering [abstract; crystal packing and structural design]: crystal structures | Functional materials [abstract; electronic, magnetic, and mechanical function]: semiconducting | Crystal engineering [primary contribution rule; +30]: Synthesis/construction is coupled to structural characterization or network design; brief supporting property measurements do not set the primary topic.",Synthesis/construction is coupled to structural characterization or network design; brief supporting property measurements do not set the primary topic.,4.0.0
10.1002/adfm.202410751,Chemical synthesis,N,Article,49,topic rules,True,True,False,,Assigned category is supported only by abstract evidence,Chemical synthesis [abstract; synthesis development]: synthetic methods | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Chemical synthesis [primary contribution rule; +30]: Abstract foregrounds synthetic route development or a post-synthetic transformation.,Abstract foregrounds synthetic route development or a post-synthetic transformation.,4.0.0
10.1002/adfm.202410931,Functional materials,Y,Article,50,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Functional materials / Chemical synthesis; Assigned category is supported only by abstract evidence,Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; biomedical and delivery applications]: cellular uptake,Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.202416717,Functional materials,N,Article,51,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Functional materials / Theory & modeling; Assigned category is supported only by abstract evidence,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Theory & modeling [abstract; quantum electronic calculations]: density functional theory | Functional materials [abstract; adsorption, storage, and separation]: separation | Functional materials [abstract; electronic, magnetic, and mechanical function]: charge transport, semiconducting",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.202500210,Functional materials,Y,Article; Early Access,52,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: separation | Functional materials [abstract; adsorption, storage, and separation]: adsorbent, separation, adsorption | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202501344,Functional materials,Y,Article,53,topic rules,False,False,False,,,"Functional materials [abstract; energy conversion and electrochemistry]: hydrogen production | Functional materials [title; catalytic and environmental performance]: photocatalysis | Functional materials [abstract; electronic, magnetic, and mechanical function]: semiconductor | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adfm.202504117,Functional materials,Y,Article,54,topic rules,True,True,False,,Assigned category is supported only by abstract evidence,Chemical synthesis [abstract; routine synthesis conditions (weak)]: solvothermal | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; catalytic and environmental performance]: catalytic activity | Functional materials [primary contribution rule; +30]: Abstract links a stated application to performance or uptake results.,Abstract links a stated application to performance or uptake results.,4.0.0
10.1002/adfm.202504916,Chemical synthesis,Y,Article,55,topic rules,True,True,False,,Weak topic evidence (score below 4); Competing categories: Chemical synthesis / Functional materials; Assigned category is supported only by abstract evidence,"Chemical synthesis [abstract; synthesis development]: scalable synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [abstract; adsorption, storage, and separation]: adsorption, separation, separations",Phrase-group evidence favors Chemical synthesis; no explicit primary-contribution rule applies.,4.0.0
10.1002/adfm.202509095,Functional materials,Y,Article; Early Access,56,topic rules,True,True,False,,Multiple substantial topics in title: Chemical synthesis / Functional materials,Chemical synthesis [title; molecular reaction development]: oxidation of vanillyl alcohol | Chemical synthesis [abstract; molecular reaction development]: oxidation of vanillyl alcohol | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Functional materials [title; catalytic and environmental performance]: photocatalytic | Functional materials [abstract; catalytic and environmental performance]: photocatalytic | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.,Title foregrounds an application or material performance objective.,4.0.0
10.1002/adhm.201600818,Functional materials,N,Article,57,topic rules,False,False,False,,,"Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; biomedical and delivery applications]: biomedical | Functional materials [abstract; biomedical and delivery applications]: biocompatibility, drug delivery",Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adhm.201800950,Functional materials,Y,Article,58,topic rules,False,False,False,,,"Functional materials [title; biomedical and delivery applications]: bioactivity | Functional materials [abstract; biomedical and delivery applications]: bioactivity, cytotoxicity | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adma.200601604,Chemical synthesis,N,Article,59,topic rules,True,True,False,,Multiple substantial topics in title: Chemical synthesis / Functional materials,"Chemical synthesis [title; synthetic routes]: microwave synthesis | Chemical synthesis [abstract; routine synthesis conditions (weak)]: hydrothermal | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: sorption | Functional materials [abstract; adsorption, storage, and separation]: adsorption | Chemical synthesis [primary contribution rule; +30]: Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.","Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.",4.0.0
10.1002/adma.200903765,Functional materials,N,Article,60,topic rules,True,True,False,,Multiple substantial topics in title: Chemical synthesis / Functional materials,"Chemical synthesis [title; synthesis development]: rapid synthesis | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: co2 capture | Functional materials [abstract; adsorption, storage, and separation]: adsorption | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adma.200903867,Crystal engineering,N,Article,61,topic rules,False,False,False,,,Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Crystal engineering [title; crystallization and crystal growth]: crystallization | Crystal engineering [abstract; crystallization and crystal growth]: crystallization,Phrase-group evidence favors Crystal engineering; no explicit primary-contribution rule applies.,4.0.0
10.1002/adma.201000844,Functional materials,N,Article,62,topic rules,False,False,False,,,Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Functional materials [title; sensing and optical function]: luminescent | Functional materials [abstract; sensing and optical function]: luminescent,Phrase-group evidence favors Functional materials; no explicit primary-contribution rule applies.,4.0.0
10.1002/adma.201000857,Functional materials,Y,Article,63,topic rules,True,True,False,,Multiple substantial topics in title: Chemical synthesis / Functional materials,"Chemical synthesis [abstract; routine synthesis conditions (weak)]: solvothermal | Chemical synthesis [title; synthesis development]: controllable synthesis | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [abstract; generic synthesis report (weak)]: synthesis | Functional materials [title; adsorption, storage, and separation]: membranes | Functional materials [abstract; adsorption, storage, and separation]: membrane, membranes | Functional materials [primary contribution rule; +30]: Title foregrounds an application or material performance objective.",Title foregrounds an application or material performance objective.,4.0.0
10.1002/adma.201004208,Chemical synthesis,N,Article,64,topic rules,False,False,False,,,"Chemical synthesis [title; synthesis development]: one pot synthesis | Chemical synthesis [title; generic synthesis report (weak)]: synthesis | Chemical synthesis [primary contribution rule; +30]: Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.","Title foregrounds a synthetic route, post-synthetic transformation, or molecular reaction.",4.0.0
