doi,article_trial_or_failure,article_trial_or_failure_notes,mof_description,mof_name,modification_notes,rationale,based_on_success_index,varied_classes,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,metel_concnertation,M_L_ratio,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,metal_cluster_connectivity_classified,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error,crystal_code,additional_original_article_trial_or_failure,additional_trial_flag_source
10.1021/acs.cgd.6b00038,yes,"Solvothermal 70 °C gave mixed MFU-4 + coordination polymer; 60 °C gave coordination polymer 2; 40 °C no precipitate; using DMSO, EtOH, or H2O alone gave no MFU-4.","a zinc metal-organic framework with Zn5 Kuratowski-type SBU built by organic linker 1H,5H-benzo(1,2-d:4,5-d?)bistriazole",MFU-4,"Microwave synthesis using water as the sole solvent (2 mL) instead of DMF. The paper states no MFU-4 formation with water alone (neither solvothermal nor microwave). Represented across the stated MW grid of temperatures (60, 80, 100, 155 °C) and times (2, 5, 10 min).","Negative conditions for MFU-4 include very low-temperature solvothermal trials (40 °C: no precipitate) and solvent substitutions to ethanol, DMSO, or water (alone or mutually mixed), which yielded no MFU-4 under microwave/solvothermal conditions. Mixed MFU-4 + identified coordination polymer 2 cases are excluded.",6,solvent_main;temperature_c;time_h,ZnCl2,,"34 mg, 0.25 mmol",0.25,mmol,,,,,,,,,,,"1H,5H-benzo(1,2-d:4,5-d′)bistriazole",H2-BBTA,"10 mg, 0.06 mmol",0.06,mmol,,,,,,,,,,,,,,,,,,,,,water,H2O,2.0 mL,2,,,,,125,4.17,155,155.0 °C,0.167,0.167 h,Pyrex sample tube (microwave synthesizer),,"DMF, EtOH","once with DMF, twice with EtOH",,,,,9,>1200 nm (DLS),,Zn5 Kuratowski-type SBU,pentanuclear cluster SBU,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b00038,ok,,,,
10.1021/acs.cgd.6b00038,yes,"Solvothermal 70 °C gave mixed MFU-4 + coordination polymer; 60 °C gave coordination polymer 2; 40 °C no precipitate; using DMSO, EtOH, or H2O alone gave no MFU-4.","a zinc metal-organic framework with Zn5 Kuratowski-type SBU built by organic linker 1H,5H-benzo(1,2-d:4,5-d?)bistriazole",MFU-4,"Solvothermal DMF reaction modified to 40 °C for 24 h as in Table 1 (sample VI), which gave 'no precipitate'. Base recipe is the solvothermal 80 °C, 24 h DMF success; only temperature lowered.","Negative conditions for MFU-4 include very low-temperature solvothermal trials (40 °C: no precipitate) and solvent substitutions to ethanol, DMSO, or water (alone or mutually mixed), which yielded no MFU-4 under microwave/solvothermal conditions. Mixed MFU-4 + identified coordination polymer 2 cases are excluded.",3,temperature_c,ZnCl2,,"34 mg, 0.25 mmol",0.25,mmol,,,,,,,,,,,"1H,5H-benzo(1,2-d:4,5-d′)bistriazole",H2-BBTA,"10 mg, 0.06 mmol",0.06,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,2 mL,2,,,,,125,4.17,40,40.0 °C,24,24 h,heating test tube (heating block),,DMF,three times,,,,,28.2,,,Zn5 Kuratowski-type SBU,pentanuclear cluster SBU,,,,not_reported,not_reported,,,10.1021/acs.cgd.6b00038,ok,,,,
10.1021/jacs.7b02184,yes,L-proline modulation failed for Zr/Hf-L5; benzoic acid modulation used instead.,"a hafnium metal-organic framework with Hf6O4(OH)4 12-connected SBU; two-fold interpenetrated and fcu topology built by organic linker tetrafluoro-substituted 4,4?-[1,4-phenylene-bis(ethyne-2,1-diyl)]-dibenzoic acid",Hf-L5,Main text: initial L-proline modulation failed for L5-based Hf MOF; benzoic acid modulation then used successfully. Represented as substituting L-proline for benzoic acid at the same molar amount; all other conditions per Hf-L5 base.,Paper states L-proline modulation failed to produce L5-based Zr/Hf MOFs; benzoic acid modulation gave the successful Zr-L5 and Hf-L5. Plans substitute L-proline for benzoic acid against those bases.,13,modulator_1,HfCl4,HfCl4,"0.054 g (0.17 mmol, 1 eq)",0.17,mmol,,,,,,,,,,,"tetrafluoro-substituted 4,4′-[1,4-phenylene-bis(ethyne-2,1-diyl)]-dibenzoic acid",L5-H2,"0.074 g (0.17 mmol, 1 eq)",0.17,mmol,,,,,,,,,,,L-proline,,5.06 mmol,5.06,mmol,hydrochloric acid,HCl,0.015 mL,0.015,mL,dimethylformamide,DMF,10 mL,10,,,,,17,1,120,120 °C,24,24 h,50 mL PYREX reagent bottle,static,"DMF, acetone","1× DMF (30 mL), 2× acetone (30 mL each)","CHCl3 solvent exchange for 3 days (?3×), then vacuum dry",,,intense yellow microcrystals/single crystals,92,,fcu,Hf6O4(OH)4 12-connected SBU; two-fold interpenetrated,dodecanuclear cluster SBU,Fd-3?m (cubic),,675,not_reported,not_reported,,sensing,10.1021/jacs.7b02184,ok,,,,
10.1021/jacs.7b02184,yes,L-proline modulation failed for Zr/Hf-L5; benzoic acid modulation used instead.,"a zirconium metal-organic framework with Zr6O4(OH)4 12-connected SBU; two-fold interpenetrated and fcu topology built by organic linker tetrafluoro-substituted 4,4?-[1,4-phenylene-bis(ethyne-2,1-diyl)]-dibenzoic acid",Zr-L5,Main text: initial L-proline modulation failed for L5-based Zr MOF; benzoic acid modulation then used successfully. Represented as substituting L-proline for benzoic acid at the same molar amount; all other conditions per Zr-L5 base.,Paper states L-proline modulation failed to produce L5-based Zr/Hf MOFs; benzoic acid modulation gave the successful Zr-L5 and Hf-L5. Plans substitute L-proline for benzoic acid against those bases.,12,modulator_1,ZrCl4,ZrCl4,"0.039 g (0.17 mmol, 1 eq)",0.17,mmol,,,,,,,,,,,"tetrafluoro-substituted 4,4′-[1,4-phenylene-bis(ethyne-2,1-diyl)]-dibenzoic acid",L5-H2,"0.074 g (0.17 mmol, 1 eq)",0.17,mmol,,,,,,,,,,,L-proline,,5.06 mmol,5.06,mmol,hydrochloric acid,HCl,0.015 mL,0.015,mL,dimethylformamide,DMF,10 mL,10,,,,,17,1,120,120 °C,24,24 h,50 mL PYREX reagent bottle,static,"DMF, acetone","1× DMF (30 mL), 2× acetone (30 mL each)","CHCl3 solvent exchange for 3 days (?3×), then vacuum dry",,,intense yellow microcrystals/single crystals,92,,fcu,Zr6O4(OH)4 12-connected SBU; two-fold interpenetrated,dodecanuclear cluster SBU,Fd-3?m (cubic),,1420,not_reported,not_reported,,sensing,10.1021/jacs.7b02184,ok,,,,
10.1039/c8ta08702d,yes,Room-temperature synthesis with SBS only (no HDS) gave no precipitate.,a zinc metal-organic framework built by organic linker 2-methylimidazole,ZIF-8,"Control experiment at RT without HDS: 0.24 g Zn(CH3CO2)2·2H2O, 0.06 g 2Im, 0.145 g SBS in 18 mL DMF; stirred 1 min and up to 30 min gave no precipitate (main text, ESI Control exp. 2). Represented by substituting Zn(NO3)2 with Zn(OAc)2 and shortening time versus the solvothermal SBS base (Success 12).",Negative condition: room-temperature ZIF-8 synthesis with SBS but without HDS gave no precipitate. Built as a modification of the solvothermal SBS recipe (same DMF and reagent amounts).,12,metal_1;time_h,Zn(CH3COO)2·2H2O,,0.24 g,1.17937,mmol,,,,,,,,,,,2-methylimidazole,2Im,0.06 g,0.730816,mmol,,,,,,,,,,,sodium benzene sulfonate,SBS,0.145 g,0.145,g,,,,,,dimethylformamide,DMF,18 mL,18,,,,,66,1.61,140,140 °C,0.0167,0.0167 h,Teflon-lined autoclave,static (after initial mixing),EtOH,4× (25 mL each),dried at 120 °C for 12 h,120,12,white powder,,,,,,,,,not_reported,not_reported,,,10.1039/c8ta08702d,ok,,,,
10.1039/c8ta08702d,yes,Room-temperature synthesis with SBS only (no HDS) gave no precipitate.,a zinc metal-organic framework built by organic linker 2-methylimidazole,ZIF-8,"Control experiment at RT without HDS: 0.24 g Zn(CH3CO2)2·2H2O, 0.06 g 2Im, 0.145 g SBS in 18 mL DMF; stirred 1 min and up to 30 min gave no precipitate (main text, ESI Control exp. 2). Represented by substituting Zn(NO3)2 with Zn(OAc)2 and shortening time versus the solvothermal SBS base (Success 12).",Negative condition: room-temperature ZIF-8 synthesis with SBS but without HDS gave no precipitate. Built as a modification of the solvothermal SBS recipe (same DMF and reagent amounts).,12,metal_1;time_h,Zn(CH3COO)2·2H2O,,0.24 g,1.17937,mmol,,,,,,,,,,,2-methylimidazole,2Im,0.06 g,0.730816,mmol,,,,,,,,,,,sodium benzene sulfonate,SBS,0.145 g,0.145,g,,,,,,dimethylformamide,DMF,18 mL,18,,,,,66,1.61,140,140 °C,0.5,0.5 h,Teflon-lined autoclave,static (after initial mixing),EtOH,4× (25 mL each),dried at 120 °C for 12 h,120,12,white powder,,,,,,,,,not_reported,not_reported,,,10.1039/c8ta08702d,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,MOF-LA2-1(furan),"Article states that using MOF-303/MOF-LA2-1(pyrazole) synthesis procedures gave noncrystalline products. Specific parameters were not reported; we represent these attempts as representative solvothermal temperature/time variants (values estimated; article gives no specifics), holding the base reagents/solvents constant.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",1,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 1.100 mL (0.275 mmol)",0.275,mmol,,,,,,,,,,,(E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,H2FVDC,100 mg (0.549 mmol),0.549,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,458 µL,0.458,water,H2O,730 µL,0.73,600,0.5,100,100.0 °C,4,4.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,white powder,80,single crystals ~30 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=24.0 Å, c=10.5 Å, I41/a",9.2,1113,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,MOF-LA2-1(furan),"Article states that using MOF-303/MOF-LA2-1(pyrazole) synthesis procedures gave noncrystalline products. Specific parameters were not reported; we represent these attempts as representative solvothermal temperature/time variants (values estimated; article gives no specifics), holding the base reagents/solvents constant.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",1,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 1.100 mL (0.275 mmol)",0.275,mmol,,,,,,,,,,,(E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,H2FVDC,100 mg (0.549 mmol),0.549,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,458 µL,0.458,water,H2O,730 µL,0.73,600,0.5,100,100.0 °C,12,12.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,white powder,80,single crystals ~30 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=24.0 Å, c=10.5 Å, I41/a",9.2,1113,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,MOF-LA2-1(furan),"Article states that using MOF-303/MOF-LA2-1(pyrazole) synthesis procedures gave noncrystalline products. Specific parameters were not reported; we represent these attempts as representative solvothermal temperature/time variants (values estimated; article gives no specifics), holding the base reagents/solvents constant.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",1,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 1.100 mL (0.275 mmol)",0.275,mmol,,,,,,,,,,,(E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,H2FVDC,100 mg (0.549 mmol),0.549,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,458 µL,0.458,water,H2O,730 µL,0.73,600,0.5,100,100.0 °C,24,24.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,white powder,80,single crystals ~30 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=24.0 Å, c=10.5 Å, I41/a",9.2,1113,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,MOF-LA2-1(furan),"Article states that using MOF-303/MOF-LA2-1(pyrazole) synthesis procedures gave noncrystalline products. Specific parameters were not reported; we represent these attempts as representative solvothermal temperature/time variants (values estimated; article gives no specifics), holding the base reagents/solvents constant.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",1,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 1.100 mL (0.275 mmol)",0.275,mmol,,,,,,,,,,,(E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,H2FVDC,100 mg (0.549 mmol),0.549,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,458 µL,0.458,water,H2O,730 µL,0.73,600,0.5,120,120.0 °C,4,4.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,white powder,80,single crystals ~30 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=24.0 Å, c=10.5 Å, I41/a",9.2,1113,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,MOF-LA2-1(furan),"Article states that using MOF-303/MOF-LA2-1(pyrazole) synthesis procedures gave noncrystalline products. Specific parameters were not reported; we represent these attempts as representative solvothermal temperature/time variants (values estimated; article gives no specifics), holding the base reagents/solvents constant.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",1,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 1.100 mL (0.275 mmol)",0.275,mmol,,,,,,,,,,,(E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,H2FVDC,100 mg (0.549 mmol),0.549,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,458 µL,0.458,water,H2O,730 µL,0.73,600,0.5,120,120.0 °C,12,12.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,white powder,80,single crystals ~30 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=24.0 Å, c=10.5 Å, I41/a",9.2,1113,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,MOF-LA2-1(furan),"Article states that using MOF-303/MOF-LA2-1(pyrazole) synthesis procedures gave noncrystalline products. Specific parameters were not reported; we represent these attempts as representative solvothermal temperature/time variants (values estimated; article gives no specifics), holding the base reagents/solvents constant.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",1,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 1.100 mL (0.275 mmol)",0.275,mmol,,,,,,,,,,,(E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,H2FVDC,100 mg (0.549 mmol),0.549,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,458 µL,0.458,water,H2O,730 µL,0.73,600,0.5,120,120.0 °C,24,24.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,white powder,80,single crystals ~30 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=24.0 Å, c=10.5 Å, I41/a",9.2,1113,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,MOF-LA2-1(furan),"Article states that using MOF-303/MOF-LA2-1(pyrazole) synthesis procedures gave noncrystalline products. Specific parameters were not reported; we represent these attempts as representative solvothermal temperature/time variants (values estimated; article gives no specifics), holding the base reagents/solvents constant.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",1,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 1.100 mL (0.275 mmol)",0.275,mmol,,,,,,,,,,,(E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,H2FVDC,100 mg (0.549 mmol),0.549,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,458 µL,0.458,water,H2O,730 µL,0.73,600,0.5,150,150.0 °C,4,4.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,white powder,80,single crystals ~30 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=24.0 Å, c=10.5 Å, I41/a",9.2,1113,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,MOF-LA2-1(furan),"Article states that using MOF-303/MOF-LA2-1(pyrazole) synthesis procedures gave noncrystalline products. Specific parameters were not reported; we represent these attempts as representative solvothermal temperature/time variants (values estimated; article gives no specifics), holding the base reagents/solvents constant.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",1,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 1.100 mL (0.275 mmol)",0.275,mmol,,,,,,,,,,,(E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,H2FVDC,100 mg (0.549 mmol),0.549,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,458 µL,0.458,water,H2O,730 µL,0.73,600,0.5,150,150.0 °C,12,12.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,white powder,80,single crystals ~30 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=24.0 Å, c=10.5 Å, I41/a",9.2,1113,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,MOF-LA2-1(furan),"Article states that using MOF-303/MOF-LA2-1(pyrazole) synthesis procedures gave noncrystalline products. Specific parameters were not reported; we represent these attempts as representative solvothermal temperature/time variants (values estimated; article gives no specifics), holding the base reagents/solvents constant.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",1,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 1.100 mL (0.275 mmol)",0.275,mmol,,,,,,,,,,,(E)-5-(2-carboxyvinyl)-2-furancarboxylic acid,H2FVDC,100 mg (0.549 mmol),0.549,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,458 µL,0.458,water,H2O,730 µL,0.73,600,0.5,150,150.0 °C,24,24.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,white powder,80,single crystals ~30 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=24.0 Å, c=10.5 Å, I41/a",9.2,1113,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,"an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E,E)-3,3?-(2,5-furandiyl)bis-2-propenoic acid",MOF-LA2-2(furan),"Same reported outcome under MOF-303/MOF-LA2-1(pyrazole)-style procedures: noncrystalline materials. Parameters not specified; represented here as a set of estimated solvothermal temperature/time points (no specifics in article), anchored to this base recipe’s reagents/solvents.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",2,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 0.961 mL (0.240 mmol)",0.24,mmol,,,,,,,,,,,"(E,E)-3,3′-(2,5-furandiyl)bis-2-propenoic acid",H2FDP,100 mg (0.480 mmol),0.48,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,400 µL,0.4,water,H2O,639 µL,0.639,600,0.5,100,100.0 °C,4,4.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,light brown powder,82,single crystals ~100 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=27.0 Å, c=10.6 Å, I41md; V=7754.6 Å3",11.1,1269,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,"an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E,E)-3,3?-(2,5-furandiyl)bis-2-propenoic acid",MOF-LA2-2(furan),"Same reported outcome under MOF-303/MOF-LA2-1(pyrazole)-style procedures: noncrystalline materials. Parameters not specified; represented here as a set of estimated solvothermal temperature/time points (no specifics in article), anchored to this base recipe’s reagents/solvents.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",2,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 0.961 mL (0.240 mmol)",0.24,mmol,,,,,,,,,,,"(E,E)-3,3′-(2,5-furandiyl)bis-2-propenoic acid",H2FDP,100 mg (0.480 mmol),0.48,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,400 µL,0.4,water,H2O,639 µL,0.639,600,0.5,100,100.0 °C,12,12.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,light brown powder,82,single crystals ~100 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=27.0 Å, c=10.6 Å, I41md; V=7754.6 Å3",11.1,1269,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
10.1021/jacs.3c11947,yes,Attempts using MOF-303/MOF-LA2-1(pyrazole) synthesis conditions gave noncrystalline materials.,"an aluminum metal-organic framework with cis corner-shared Al(?2-OH) rod SBU built by organic linker (E,E)-3,3?-(2,5-furandiyl)bis-2-propenoic acid",MOF-LA2-2(furan),"Same reported outcome under MOF-303/MOF-LA2-1(pyrazole)-style procedures: noncrystalline materials. Parameters not specified; represented here as a set of estimated solvothermal temperature/time points (no specifics in article), anchored to this base recipe’s reagents/solvents.","Both MOF-LA2-1(furan) and MOF-LA2-2(furan) failed under MOF-303/MOF-LA2-1(pyrazole)-style procedures, yielding noncrystalline materials. We represent these as solvothermal temperature/time variants (values not specified in article) anchored to each successful base recipe.",2,temperature_c;time_h,Al2(SO4)3,,"0.25 M aqueous solution, 0.961 mL (0.240 mmol)",0.24,mmol,,,,,,,,,,,"(E,E)-3,3′-(2,5-furandiyl)bis-2-propenoic acid",H2FDP,100 mg (0.480 mmol),0.48,mmol,,,,,,,,,,,,,,,,,,,,,dimethylformamide,DMF,400 µL,0.4,water,H2O,639 µL,0.639,600,0.5,100,100.0 °C,24,24.0 h,microwave vessel,static,"H2O, MeOH","H2O 4×, MeOH 3×",dried at room temperature on a Schlenk line,,,light brown powder,82,single crystals ~100 ?m,,cis corner-shared Al(?2-OH) rod SBU,polynuclear cluster SBU,"a=b=27.0 Å, c=10.6 Å, I41md; V=7754.6 Å3",11.1,1269,not_reported,yes,,water_harvesting,10.1021/jacs.3c11947,ok,,,,
